unique_id,ds,cutoff,config_with_exog__,config_no_exog__,y
Pinrang,2020-05-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,156.65884,169.98415,382.60004
Pinrang,2020-06-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,144.85457,190.51701,169.0
Pinrang,2020-07-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,55.782875,142.70557,107.100006
Pinrang,2020-08-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,41.082443,88.91204,84.799995
Pinrang,2020-09-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,34.717636,34.05774,77.5
Pinrang,2020-10-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,75.741745,74.23955,303.3
Pinrang,2020-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,179.62181,221.28796,226.0
Pinrang,2020-12-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,285.22113,255.7269,272.9
Pinrang,2021-01-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,299.12637,258.699,281.0
Pinrang,2021-02-28 00:00:00+00:00,2020-12-31 00:00:00+00:00,222.77902,180.82225,152.1
Pinrang,2021-03-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,249.87042,218.62668,248.70001
Pinrang,2021-04-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,222.6009,266.22272,86.1
Pinrang,2021-05-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,144.48978,75.843864,193.7
Pinrang,2021-06-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,130.57928,79.32862,180.1
Pinrang,2021-07-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,56.867226,28.470856,136.7
Pinrang,2021-08-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,18.534805,-16.0121,82.1
Pinrang,2021-09-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,28.172394,20.38733,264.3
Pinrang,2021-10-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,138.5267,160.99896,287.2
Pinrang,2021-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,206.20395,208.67453,301.9
Pinrang,2021-12-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,261.10867,362.70544,327.0
Pinrang,2022-01-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,293.75507,211.12544,235.5
Pinrang,2022-02-28 00:00:00+00:00,2021-12-31 00:00:00+00:00,225.51884,207.41016,270.1
Pinrang,2022-03-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,259.67474,223.35909,196.0
Pinrang,2022-04-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,256.73483,250.39105,211.8
Pinrang,2022-05-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,227.37213,170.59157,384.7
Pinrang,2022-06-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,104.17745,28.357025,265.7
Pinrang,2022-07-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,76.76935,28.547012,150.1
Pinrang,2022-08-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,61.334328,46.630768,123.899994
Pinrang,2022-09-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,63.90986,53.3404,208.70001
Pinrang,2022-10-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,160.33575,121.53177,331.80002
Pinrang,2022-11-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,147.27399,155.89563,315.0
Pinrang,2022-12-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,344.2589,352.40393,390.0
Pinrang,2023-01-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,321.5702,233.75175,267.1
Pinrang,2023-02-28 00:00:00+00:00,2022-12-31 00:00:00+00:00,248.21576,199.43231,188.8
Pinrang,2023-03-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,304.59558,259.41684,277.5
Pinrang,2023-04-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,302.2958,286.03827,254.7
Pinrang,2023-05-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,184.83284,124.53943,175.5
Pinrang,2023-06-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,138.58488,33.253952,164.6
Pinrang,2023-07-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,83.02372,14.854034,165.1
Pinrang,2023-08-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,61.59784,-9.644272,8.8
Pinrang,2023-09-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,65.92455,26.492035,6.1
Pinrang,2023-10-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,170.6465,152.61589,62.699997
Pinrang,2023-11-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,213.60933,150.44928,202.3
Pinrang,2023-12-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,322.33435,444.10956,212.9
Pinrang,2024-01-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,335.11377,288.93295,198.90001
Pinrang,2024-02-29 00:00:00+00:00,2023-12-31 00:00:00+00:00,189.08133,156.90479,187.0
Pinrang,2024-03-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,351.44485,241.07965,279.2
Pinrang,2024-04-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,312.42142,200.55397,249.29999
Pinrang,2024-05-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,310.17877,199.28407,106.700005
Pinrang,2024-06-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,234.28949,189.75998,133.40001
Pinrang,2024-07-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,168.42566,178.22717,148.5
Pinrang,2024-08-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,121.60279,18.76056,21.500002
Pinrang,2024-09-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,143.05023,-8.018127,54.2
Pinrang,2024-10-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,189.9701,11.635239,146.8
Pinrang,2024-11-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,250.35251,124.97284,270.0
Pinrang,2024-12-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,361.6219,256.1641,350.2
Pinrang,2025-01-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,341.0241,391.8274,312.1
Pinrang,2025-02-28 00:00:00+00:00,2024-12-31 00:00:00+00:00,268.5278,133.52895,189.90001
Pinrang,2025-03-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,354.5895,221.76035,252.90001
Pinrang,2025-04-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,337.9516,179.51244,177.9
Pinrang,2025-05-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,347.85953,136.49416,233.6
Pinrang,2025-06-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,209.43845,82.88095,182.5
Pinrang,2025-07-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,180.50899,55.16053,110.6
Pinrang,2025-08-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,107.749756,-14.622635,127.600006
Pinrang,2025-09-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,103.57072,-5.617569,132.8
Pinrang,2025-10-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,116.71696,28.137222,143.0
Pinrang,2025-11-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,189.9568,126.16002,159.7
Pinrang,2025-12-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,308.38535,168.84753,236.8
Sidrap,2020-01-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,228.07101,233.90692,322.7
Sidrap,2020-02-29 00:00:00+00:00,2019-12-31 00:00:00+00:00,194.17908,135.08234,278.6
Sidrap,2020-03-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,298.0868,275.21713,311.9
Sidrap,2020-04-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,212.91527,134.46178,410.40002
Sidrap,2020-05-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,168.77013,87.92041,419.30002
Sidrap,2020-06-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,148.29022,80.43948,327.4
Sidrap,2020-07-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,148.76912,64.434814,233.00002
Sidrap,2020-08-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,119.82227,-13.122101,157.0
Sidrap,2020-09-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,75.54746,-63.615387,131.2
Sidrap,2020-10-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,130.27483,19.853264,173.40001
Sidrap,2020-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,257.19656,189.3833,213.9
Sidrap,2020-12-31 00:00:00+00:00,2019-12-31 00:00:00+00:00,358.82086,363.89987,192.3
Sidrap,2021-01-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,235.90915,183.67175,206.8
Sidrap,2021-02-28 00:00:00+00:00,2020-12-31 00:00:00+00:00,136.89629,52.499287,127.700005
Sidrap,2021-03-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,246.66232,224.33586,239.9
Sidrap,2021-04-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,239.83215,213.78897,142.3
Sidrap,2021-05-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,218.89886,185.30911,238.20001
Sidrap,2021-06-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,158.0438,114.42984,235.90002
Sidrap,2021-07-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,142.65968,81.399124,240.40001
Sidrap,2021-08-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,91.35192,-38.53853,263.2
Sidrap,2021-09-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,93.78957,-44.081985,342.3
Sidrap,2021-10-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,151.384,63.541534,269.7
Sidrap,2021-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,214.65977,79.01491,355.80002
Sidrap,2021-12-31 00:00:00+00:00,2020-12-31 00:00:00+00:00,232.89899,317.937,248.90001
Sidrap,2022-01-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,202.10199,91.874626,217.59999
Sidrap,2022-02-28 00:00:00+00:00,2021-12-31 00:00:00+00:00,146.63232,148.7399,285.2
Sidrap,2022-03-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,190.35617,169.4852,192.8
Sidrap,2022-04-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,215.90352,206.11322,271.7
Sidrap,2022-05-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,227.20908,212.91682,323.4
Sidrap,2022-06-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,128.63335,31.870934,295.6
Sidrap,2022-07-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,117.04772,22.19284,189.7
Sidrap,2022-08-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,88.176476,2.9816208,150.1
Sidrap,2022-09-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,98.50988,13.500755,184.20001
Sidrap,2022-10-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,164.01169,145.46887,316.5
Sidrap,2022-11-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,149.5296,88.45055,307.30002
Sidrap,2022-12-31 00:00:00+00:00,2021-12-31 00:00:00+00:00,196.68005,385.78613,281.19998
Sidrap,2023-01-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,228.83524,158.41632,193.3
Sidrap,2023-02-28 00:00:00+00:00,2022-12-31 00:00:00+00:00,157.51138,108.26158,117.0
Sidrap,2023-03-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,238.2174,208.58105,273.69998
Sidrap,2023-04-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,247.78319,218.35513,270.3
Sidrap,2023-05-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,181.94934,123.26505,246.1
Sidrap,2023-06-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,136.59048,13.380814,170.8
Sidrap,2023-07-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,92.236786,-29.820358,130.6
Sidrap,2023-08-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,74.67768,-75.5627,23.5
Sidrap,2023-09-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,80.05965,-48.53151,16.0
Sidrap,2023-10-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,151.49744,97.4163,21.4
Sidrap,2023-11-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,191.6026,72.406334,205.4
Sidrap,2023-12-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,223.3349,388.75073,158.2
Sidrap,2024-01-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,175.60617,212.99039,215.50002
Sidrap,2024-02-29 00:00:00+00:00,2023-12-31 00:00:00+00:00,126.53899,87.52407,144.20001
Sidrap,2024-03-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,242.65593,190.98169,282.1
Sidrap,2024-04-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,259.461,157.93979,369.2
Sidrap,2024-05-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,285.32666,155.4991,192.20001
Sidrap,2024-06-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,247.53667,120.17304,156.1
Sidrap,2024-07-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,253.96112,134.66771,158.8
Sidrap,2024-08-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,193.5333,-17.147736,25.6
Sidrap,2024-09-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,172.97284,-39.654648,63.3
Sidrap,2024-10-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,206.48401,24.365707,145.0
Sidrap,2024-11-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,201.8477,69.68283,325.8
Sidrap,2024-12-31 00:00:00+00:00,2023-12-31 00:00:00+00:00,209.61717,200.25668,193.30002
Sidrap,2025-01-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,238.18118,295.17682,239.30002
