unique_id,ds,precipitation_sum,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,surface_pressure_mean,cloud_cover_mean,shortwave_radiation_sum
Bone,2005-04-30 00:00:00+00:00,193.9,780.5492,2569.033,174.0223,30026.688,2363.625,539.62
Bone,2005-05-31 00:00:00+00:00,191.1,790.9157,2670.9849,242.56958,31013.76,2145.25,526.35
Bone,2005-06-30 00:00:00+00:00,86.4,765.43463,2568.2644,224.33427,30003.72,1571.5,547.54
Bone,2005-07-31 00:00:00+00:00,107.799995,783.3303,2523.6267,313.72385,31039.871,1921.875,562.83
Bone,2005-08-31 00:00:00+00:00,63.5,788.28864,2440.316,333.32513,31043.29,1568.3334,650.98
Bone,2005-09-30 00:00:00+00:00,18.2,786.46796,2285.394,303.58386,30029.686,1295.875,698.08
Bone,2005-10-31 00:00:00+00:00,115.3,829.1949,2446.3958,231.03264,30993.807,1938.2916,684.81
Bone,2005-11-30 00:00:00+00:00,186.29999,802.5513,2433.913,147.20831,29971.287,2560.2917,604.46
Bone,2005-12-31 00:00:00+00:00,201.4,817.14905,2608.864,134.33472,30945.89,2935.8333,581.7
Bone,2006-01-31 00:00:00+00:00,210.0,815.5532,2564.4954,218.68405,30935.14,2972.2917,557.89
Bone,2006-02-28 00:00:00+00:00,182.2,736.89124,2347.1985,138.7951,27966.973,2487.6667,519.6
Bone,2006-03-31 00:00:00+00:00,129.5,817.722,2571.644,172.15375,30948.732,2802.5,602.89
Bone,2006-04-30 00:00:00+00:00,200.7,783.4263,2568.5105,124.817795,29966.18,2661.9167,543.06
Bone,2006-05-31 00:00:00+00:00,287.0,784.9928,2753.9358,184.69115,31013.314,2718.875,465.87
Bone,2006-06-30 00:00:00+00:00,225.4,743.62,2621.0544,272.71576,30026.97,2452.0417,449.17
Bone,2006-07-31 00:00:00+00:00,69.5,759.1324,2573.5962,345.8476,31061.713,1789.5416,556.56
Bone,2006-08-31 00:00:00+00:00,33.300003,756.12616,2452.8938,386.85345,31065.514,1379.7084,646.55
Bone,2006-09-30 00:00:00+00:00,24.7,762.1867,2193.9119,342.9723,30051.982,1337.4166,723.91
Bone,2006-10-31 00:00:00+00:00,6.6000004,821.5761,2094.6072,326.46262,31055.082,1375.5,811.22
Bone,2006-11-30 00:00:00+00:00,28.699999,830.0617,2139.0396,224.01047,29984.24,1374.0,751.66
Bone,2006-12-31 00:00:00+00:00,189.4,850.6845,2441.21,173.53436,30959.043,2203.75,649.71
Bone,2007-01-31 00:00:00+00:00,235.7,825.55115,2576.2683,188.92302,30969.854,2770.7917,561.04
Bone,2007-02-28 00:00:00+00:00,256.5,730.7058,2359.2832,161.5024,27983.447,2523.5,534.81
Bone,2007-03-31 00:00:00+00:00,165.0,823.0428,2573.9158,150.0708,30962.633,2726.6667,636.96
Bone,2007-04-30 00:00:00+00:00,331.6,773.94714,2633.7944,135.97198,29996.047,2562.7083,509.44
Bone,2007-05-31 00:00:00+00:00,138.3,798.5553,2665.0044,235.50708,31013.684,2044.0416,550.36
Bone,2007-06-30 00:00:00+00:00,345.2,753.1867,2694.1748,221.53348,29965.703,2468.75,427.29
Bone,2007-07-31 00:00:00+00:00,152.9,755.83026,2637.4705,371.1611,31032.002,2317.375,518.42
Bone,2007-08-31 00:00:00+00:00,85.0,756.6553,2582.641,350.90378,31036.871,1879.7084,596.75
Bone,2007-09-30 00:00:00+00:00,36.7,755.3888,2345.5835,294.44345,30011.71,1430.4584,697.39
Bone,2007-10-31 00:00:00+00:00,84.2,824.722,2453.3748,243.29636,30981.598,1851.0416,724.94
Bone,2007-11-30 00:00:00+00:00,94.8,814.73047,2333.106,156.80801,29945.617,2342.9583,668.05
Bone,2007-12-31 00:00:00+00:00,127.2,825.2637,2521.9658,181.90526,30910.266,2807.2083,585.09
Bone,2008-01-31 00:00:00+00:00,154.5,819.04694,2529.8723,185.95378,30941.29,2696.3333,596.32
Bone,2008-02-29 00:00:00+00:00,152.0,759.64935,2390.0564,199.5092,28932.316,2760.0417,479.42
Bone,2008-03-31 00:00:00+00:00,258.7,806.4511,2619.6953,129.45721,30956.416,2780.9583,622.8
Bone,2008-04-30 00:00:00+00:00,201.8,763.9492,2608.1216,176.3049,29967.12,2592.2083,548.95
